index,name,year,hardware,related_game,is_link,id,thumbnail_url
11,"密特羅德 究極 復刻版",2023,"Nintendo Switch","Metroid (Famicom Disk System)|Metroid (NES)|Metroid II - Return of Samus",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
12,"Metroid Prime",2002,"Nintendo GameCube","Metroid (Famicom Disk System)|Metroid (NES)|Metroid II - Return of Samus",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/e078b63b-25a1-418d-a1ad-467b3813bbf1"
13,"nintendogs",2005,"Nintendo DS","",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/56d050db-a9dd-4419-944c-b0552338aed1"
14,"Tomodachi Collection",2009,"Nintendo DS","Tomodachi Life",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
15,"Wii頻道",2006,"Wii","",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/e5407cba-6e55-4ba2-8691-4ed74cc0e65b"
16,"超級瑪利歐銀河",2025,"Nintendo Switch","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy 2|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",True,"a79e1625-cc71-43b8-8f1f-ba4fd984c6ad","https://image-assets.m.nintendo.com/25891090-fdde-4512-87ef-91ef42fefec7"
17,"Super Mario Galaxy",2007,"Wii","New Super Mario Bros.|New 超級瑪利歐兄弟U 豪華版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy 2|Super Mario Land|Super Mario World|超級瑪利歐 奧德賽|超級瑪利歐兄弟 驚奇",False,"0c667028-4647-49f1-bf7b-06dc4a51cbff","https://image-assets.m.nintendo.com/c48f47dd-fe5f-4d5b-b73b-b988c41dac5f"
18,"The Legend of Zelda: Breath of the Wild",2017,"Wii U","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 王國之淚",True,"c0bd59b6-00a2-41f4-acfb-f2d8d92103a1","https://image-assets.m.nintendo.com/fc09a962-53b9-4cea-b894-efdbde523d1e"
19,"薩爾達傳說 曠野之息 Nintendo Switch 2 Edition",2025,"Nintendo Switch 2","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 王國之淚",True,"0347ad36-5dc9-4022-b18c-f8f12c8ef9b8","https://image-assets.m.nintendo.com/a7f5beb8-abee-49a5-adff-8067de9f49f3"
20,"薩爾達傳說 曠野之息",2017,"Nintendo Switch","The Legend of Zelda (Famicom Disk System)|The Legend of Zelda (NES)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Phantom Hourglass|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link (Famicom Disk System)|Zelda II - The Adventure of Link (NES)|薩爾達傳說 時之笛 3D|薩爾達傳說 王國之淚",False,"20960665-fb98-4830-b8d5-37674a140e1b","https://image-assets.m.nintendo.com/ed6213b4-9f0a-4f1a-bb86-c239325f7d76"
